ID,Name,DescriptionEN,Price,GenderEN,img,DescriptionFR,GenderFR
1,Nike Air Max Plus,"Claim your rebellious side with your Nike Air Max Plus; an innovative Air model that offers optimal stability and exceptional cushioning. Taking the wavy lines; the TPU details and the breathable mesh of the original model; it embodies a rebellious style.",189.99, Men,../img/Men/1/1.1.PNG,"Affirmez votre côté rebelle avec vos Nike Air Max Plus; un modèle Air innovant qui offre une stabilité optimale et un amorti exceptionnel. Reprenant les lignes ondulées; les détails en TPU et le mesh respirant du modèle original elles incarnent un style rebelle.",Hommes
2,Nike Air Force 1'07 EasyOn,"Quick as lightning and faithful to the look of the cult sneaker. With this version of the AF1 that incorporates Nike EasyOn technology; you keep your hands free. The soft heel retracts when you put the shoe back in place on your own. Its clean and impeccable leather makes it an easy pair to wear. She has everything you like...",119.99, Men,../img/Men/2/2.1.PNG,"Rapide comme l'éclair et fidèle au look de la sneaker culte. Avec cette version de l'AF1 intégrant la technologie Nike EasyOn vous gardez les mains libres. Le talon souple se rétracte lorsque vous remettez la chaussure en place tout seul. Son cuir propre et impeccable en fait une paire facile à porter. Elle a tout ce que vous aimez...",Hommes
3,Nike Dunk Low SP,Like the "Ugly Ducklings" pack of 2001; this 1980s basketball icon is making its big comeback with sweet deer that remains incredibly trendy. Its perfect vintage colors breathe the retro spirit of basketball into your everyday life; while the padded low neck and the outer sole with pivot stitch complete your old school look with a feeling of comfort and optimal grip. It's like the Nike Dunk Low SP is never really gone.,89.99, Men,../img/Men/3/3.1.PNG,Comme le pack « Ugly Ducklings » de 2001 ; cette icône du basketball des années 80 fait son grand retour avec un daim doux qui reste incroyablement tendance. Ses couleurs vintage parfaites insufflent l'esprit rétro du basketball dans votre quotidien ; tandis que le col bas rembourré et la semelle extérieure avec point de pivot complètent votre look old school avec une sensation de confort et une adhérence optimale. On dirait que la Nike Dunk Low SP n'est jamais vraiment partie.,Hommes
4,Nike Killshot 2,"Inspired by the original model; a low tennis shoe; the Nike Killshot 2 combines genuine leather; synthetic leather; strong materials and nylon to revive a retro look. Its ultra-adhesive rubber sole is perfect for tennis.",94.99, Men,../img/Men/4/4.1.PNG,"Inspirée du modèle original; une chaussure de tennis basse; la Nike Killshot 2 combine cuir véritable; cuir synthétique; matériaux résistants et nylon pour raviver un look rétro. Sa semelle en caoutchouc ultra-adhérente est parfaite pour le tennis.",Hommes
5,Nike zoom Vomeo 5,"Complexity; depth and easy-to-wear style: the Vomero 5 zooms in all codes. Its superimposed design alternates fabrics; synthetic leather and plastic details. The result? One of the coolest sneakers of the season.",159.99, Men,../img/Men/5/5.1.PNG,"Complexité; profondeur et style facile à porter : la Vomero 5 met l'accent sur tous les codes. Son design superposé alterne tissus; cuir synthétique et détails en plastique. Le résultat ? L'une des sneakers les plus cool de la saison.",Hommes
6,Nike React Vision,"Explore the world around you with the Nike React Vision. A unique style and surreal comfort. Superimposed textures and original shapes for a look inspired by dreams. The Nike React foam and the padded tongue bring the dreamy cushioning for all your adventures; real or imaginary.",111.99, Men,../img/Men/6/6.1.PNG,"Explorez le monde qui vous entoure avec la Nike React Vision. Un style unique et un confort surréaliste. Des textures superposées et des formes originales pour un look inspiré des rêves. La mousse Nike React et la languette rembourrée offrent un amorti digne d'un rêve pour toutes vos aventures; réelles ou imaginaires.",Hommes
7,Nike Air Force 1 Sage Low,"With a cut and design revisited by women and for women; the Nike Air Force 1 Sage Low reinvents a classic basketball shoe.Seamful leather upper fits perfectly with all your outfits.The carved collar reduces the friction points.The midsole displays an avant-garde style; because you don't just be in the game; you dominate it.",79.99, Women,../img/Women/7/7.1.PNG,"With a cut and design revisited by women and for women; the Nike Air Force 1 Sage Low reinvents a classic basketball shoe.Seamful leather upper fits perfectly with all your outfits.The carved collar reduces the friction points.The midsole displays an avant-garde style; because you don't just be in the game; you dominate it.",Femmes
8,Nike Blazer Mid 77,"Imagined in the 1970s. Adopted by the 1980s. Becoming a cult in the 1990s. Ready for the rest. With its timeless design; the Blazer Mid '77 goes with everything. Its impeccable leather jacket combines with a daring retro logo and deer details for premium comfort. The foam visible on the tongue and the special finish on the midsole give the impression that you have kept your sneakers for decades. Don't wait any longer and go down in history.",109.99, Women,../img/Women/8/8.1.PNG,"Imaginée dans les années 1970. Adoptée dans les années 1980. Devenue culte dans les années 1990. Prête pour la suite. Avec son design intemporel; la Blazer Mid '77 s’accorde avec tout. Sa tige en cuir impeccable se marie à un logo rétro audacieux et des détails en daim pour un confort premium. La mousse visible sur la languette et la finition spéciale de la semelle intermédiaire donnent l’impression que vous avez conservé vos sneakers pendant des décennies. N’attendez plus et entrez dans l’histoire.",Femmes
9,Nike Pegasus,"For even more reactive damping; put the Pegasus Plus on. It energizes your stride with the ultra-lightweight zoomX foam along the entire length of the foot. You get an optimal return of energy on your daily runs. And the embankment in extensible Flyknit matches the shape of the foot for impeccable hold.",179.99, Women,../img/Women/9/9.1.PNG,"Pour un amorti encore plus réactif; enfilez les Pegasus Plus. Elles dynamisent votre foulée grâce à la mousse ZoomX ultra-légère sur toute la longueur du pied. Vous bénéficiez d'un retour d'énergie optimal lors de vos courses quotidiennes. Et l’empeigne en Flyknit extensible s’adapte à la forme du pied pour un maintien impeccable.",Femmes
10,Nike Tanjun,"Stand out. The Nike Tanjun embodies simplicity. Made with at least 20% recycled material and 100% recycled polyester laces; it leaves nothing to chance. Lightness. Ventilation. Comfort. These are just words. This shoe has everything you need.",59.99, Women,../img/Women/10/10.1.PNG,"Soyez remarqué. La Nike Tanjun incarne la simplicité. Conçue avec au moins 20 % de matériaux recyclés et des lacets en polyester 100 % recyclé; elle ne laisse rien au hasard. Légèreté. Ventilation. Confort. Ce ne sont que des mots. Cette chaussure a tout ce dont vous avez besoin.",Femmes
11,Giannis Freak 5,"Giannis' internal engine is fulmin. He needs a shoe that can exploit his superpowers. Fortunately; the Giannis Freak 5 is here. A stunning speed to move in a truncated; a reactive dampened that withstands the rigours of the game; this signature shoe puts you in the shoes of the Greek Freak. Exceed your opponent in a gust of wind on your way to the basket; while maintaining aggressive reactivity to ensure defense.",94.99, Women,../img/Women/11/11.1.PNG,"Le moteur interne de Giannis est en pleine ébullition. Il a besoin d'une chaussure capable d'exploiter ses superpouvoirs. Heureusement; la Giannis Freak 5 est là. Une vitesse époustouflante pour se déplacer rapidement; un amorti réactif qui résiste aux rigueurs du jeu; cette chaussure signature vous place dans les pas du Greek Freak. Surpassez votre adversaire dans un souffle de vent en direction du panier; tout en maintenant une réactivité agressive pour assurer votre défense.",Femmes
12,Nike zoom Fly 5,"Assuring your weekly training and blows your personal records with a strong shoe that accompanies you everywhere; from your daily runs to the finish line of your favorite race. Comfortable and reliable; it offers a driving sensation for a rapid and energetic stride. This level of versatility is rare in the running world. But who said we couldn't have everything?",135.99, Women,../img/Women/12/12.1.PNG,"Assurez vos entraînements hebdomadaires et pulvérisez vos records personnels avec une chaussure robuste qui vous accompagne partout; de vos courses quotidiennes à la ligne d'arrivée de votre course préférée. Confortable et fiable; elle offre une sensation de propulsion pour une foulée rapide et énergétique. Ce niveau de polyvalence est rare dans le monde de la course. Mais qui a dit qu'on ne pouvait pas avoir tout ?",Femmes
